标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
香江枫景120.14平370万3室2厅2卫,370,30798,香江枫景,仓山,3,120.14,南,2008,"['南', '房东直卖', '满五年', '近地铁']"
"香江枫景,南北通透大两房，采光好，视野开阔，房间都很大",259,32898,香江枫景,仓山,2,78.73,南北,2006,"['南北', '满二年', '近地铁']"
整个中海89平端头南北通透就3套在卖，少有产品在售！！！,180,20212,中海寰宇天下,闽侯,3,89.06,南北,2017,"['南北', '满二年', '近地铁']"
金山新房 龙湖兰园天序 2室2厅 ，看房随时,165,22449,龙湖兰园天序,仓山,2,73.5,南北,2022,"['南北', '有电梯', '近地铁', '次新房']"
前横路门口地铁口，现房，好楼层南北通透 一步晋安湖,210,23721,蓝光星珀,晋安,3,88.53,南北,2020,"['南北', '有电梯', '近地铁', '次新房']"
鼓楼左海铜盘，左海公寓，居家三房，南北通透，不沿街，中层,200,24097,左海公寓(东区),鼓楼,3,83,南北,1998,"['南北', '满五年']"
仓小，三叉街地铁口，老仓山生活交通便利,255,23288,龙登天锦,仓山,3,109.5,南北,2005,"['南北', '满二年', '近地铁']"
华润橡树湾丨一线全江景丨狠急售293万丨价格空间大丨诚意出售,293,21116,华润橡树湾,仓山,3,138.76,南北,2015,"['南北', '房东直卖', '满五年']"
优选 六一北路主干道 晋安花园 温泉公园东侧 好楼层性价比高,170,17526,晋安花园,晋安,3,97,南北,2000,"['南北', '满二年', '近地铁']"
地铁东街口，可做框架3房，全明户型，精装修，达明小,229,32082,肃威花园,鼓楼,3,71.38,东西,2000,"['东西', '满二年', '近地铁']"
急售！电信宿舍，茶园山小，杨桥中，电梯3房，南北通透，杨桥路,327,31143,蓝天电信宿舍,鼓楼,3,105,南北,2000,"['南北', '房东直卖', '满五年', '近地铁']"
新店五四北万科物业南北通透琴亭湖鲁能建发,339,37192,万科金域榕郡,晋安,3,91.15,南北,2012,"['南北', '满二年']"
国货小福 电梯板状一梯两户 3房 南北通透 采光好,195,20419,广安城,台江,3,95.5,南北,2000,"['南北', '满五年', '近地铁']"
岳峰新城三区 装修好 交通便利 配套成熟 近地铁 双卫,310,22963,岳峰新城三区,晋安,4,135,南北,2017,"['南北', '满二年', '近地铁']"
晋安 东二环 鹤林新城 三房 电梯高层全明采光,208,20662,鹤林新城,晋安,3,100.67,西南,2008,"['西南', '满二年', '近地铁']"
拆迁房源小柳小河南新村地块急售多个对比可以按揭贷款,166,20494,小柳新村,鼓楼,2,81,南北,1990,"['南北', '近地铁']"
万达 品质社区 电梯大三房,279,24860,正祥一品新筑,仓山,3,112.23,南北,2008,"['南北', '满五年', '近地铁']"
五四路 屏东路 中山十九 2023年新小区 书香红墙,390,37143,书香红墙,鼓楼,3,105,南北,2023,"['南北', '唯一住房', '近地铁', '次新房']"
中联御景湾 正规商品房 次新房 交通便捷 临地铁 电梯房,159,22637,中联御景湾,仓山,2,70.24,西南,2020,"['西南', '满二年', '近地铁', '次新房']"
高桥阳光新村 3室2厅 简装,210,21000,高桥阳光新村,台江,3,100,南北,2001,"['南北', '近地铁', '车位充足']"
温泉小， ，框架三房朝南，闹中取静，低总价，免接送,306,35657,怡泉花园,鼓楼,3,85.82,南北,1998,"['南北', '满二年', '近地铁', '车位充足']"
急售!茶园山小，杨桥中，框架3房，福大教师楼，全明户型,183,23283,怡园,鼓楼,3,78.6,南北,1999,"['南北', '满五年', '近地铁']"
仓小万春二区三房上藤地铁口业主急售,265,33125,万春二区,仓山,3,80,南,1998,"['南', '满五年', '近地铁']"
鳌祥佳园光明港一期北岸 精装修 3室2厅 南北通透 看房方便,185,20330,鳌祥佳园光明港一期北岸,台江,3,91,南,2016,"['南', '有电梯', '近地铁']"
中海寰宇天下 108平大三房 南北双阳台 业主精装修整屋壁柜,245,22709,中海寰宇天下,闽侯,3,107.89,南,2016,"['南', '满二年', '近地铁', '多人关注']"
衣锦华庭 满五 正规商品房 商业配套齐全 出行方便,350,33334,衣锦华庭,鼓楼,3,105,北,2012,"['北', '满五年', '近地铁']"
左海铜盘，10年社区，电梯高层，毛坯大四房，凤舞家园，视野好,243,22549,凤舞家园,鼓楼,4,107.77,南北,2011,"['南北', '满五年']"
鼓楼区斗池路，西二环黎明福屿板块 凤凰北新村精装3房2卫拎包,168,22703,凤凰北新村,鼓楼,3,74,南北,2000,"['南北', '满二年', '近地铁']"
高新区 万科又一城96平 三房，视野开阔业主自住房,225,23292,万科又一城,闽侯,3,96.6,南北,2022,"['南北', '满二年', '近地铁', '次新房']"
万达商圈 品质社区 龙湖兰园天序 2室1厅 南,169,22994,龙湖兰园天序,仓山,2,73.5,南,2022,"['南', '有电梯', '近地铁', '次新房']"
金山芯 近万达 家门口万科里 精装正需高层三房！拎包入住！,320,33192,大名城紫金九号,仓山,3,96.41,南北,2022,"['南北', '近地铁', '车位充足']"
华林路斗门地铁口永辉超市对面接送温泉小实达温泉花园3房,198,23026,实达新苑,晋安,3,85.99,南北,2000,"['南北', '满二年', '近地铁']"
西洪小区，电梯3房，东南朝向，两房朝南，装修清楚,280,34147,西洪小区,鼓楼,3,82,东南,1998,"['东南', '满二年', '近地铁']"
橡树湾公园丨纯毛坯丨大四房丨南北通透丨央企打造丨人车分流丨,300,24413,橡树湾橡树公园,仓山,4,122.89,南,2014,"['南', '满二年', '近地铁']"
降价急售 岳峰新城 75平 高层简装两房 视野开阔 满2省税,172,22934,岳峰新城二区,晋安,2,75,南,2015,"['南', '满二年', '近地铁']"
万达爱琴海商圈 平层 红星国际 电梯毛坯三房 三面采光,336,31768,红星国际广场晶品,仓山,3,105.77,西南,2013,"['西南', '满五年', '近地铁']"
五里亭旁 非常有性价比复式三房 喜欢的看过来,265,31339,首开融侨尚东区熙悦锦城,晋安,3,84.56,南北,2019,"['南北', '满二年', '近地铁', '次新房']"
首开融侨尚东区熙悦锦城 3房2厅2卫,263,32851,首开融侨尚东区熙悦锦城,晋安,3,80.06,南,2020,"['南', '满二年', '近地铁', '次新房']"
金山大道旁 近地铁全明户型 标准两房 南北通透 融信三味舒屋,173,22314,融信三味舒屋,仓山,2,77.53,南北,2007,"['南北', '房东直卖', '满五年', '近地铁']"
电梯房 交通便捷 双卫生间 楼龄新 小三居 购物方便,318,29164,保利香槟国际,晋安,3,109.04,南,2017,"['南', '满五年', '近地铁']"
东二环泰禾广场，电梯大3房，房子非常新,340,34687,香开新城,晋安,3,98.02,东南,2015,"['东南', '有电梯', '近地铁']"
新榕金城湾2室1厅 温馨舒适采光好,186,26637,新榕金城湾,仓山,2,69.83,南,2015,"['南', '满二年', '近地铁']"
豪装80万 晋安公园旁 中庚帝国大院 2梯2户 高层三房朝南,360,37041,中庚帝国大苑,晋安,3,97.19,南北,2014,"['南北', '满五年', '近地铁']"
中山，十九，框架，外墙重新改造，南北通透大3房，二卫，免接送,370,34260,红墙新村,鼓楼,3,108,南北,1999,"['南北', '满二年', '近地铁']"
新出 高层一线晋安湖摩天轮 鹤林生态公园 精装未入住过 全明,310,38107,公园左岸,晋安,3,81.35,南,2022,"['南', '唯一住房', '近地铁', '次新房']"
海西佰悦城 3房2厅两卫 高层精装 满意谈价格,210,18622,海西佰悦城,仓山,3,112.77,南北,2014,"['南北', '满五年', '近地铁', '车位充足']"
左海公园，荣誉酒店，融侨品质，适合刚需，三房，出行便利，铜盘,205,21295,融侨花园3区,鼓楼,3,96.27,南北,2000,"['南北', '满二年', '近地铁']"
急卖送车位中海自住三房出售，电梯高层，二号线地铁口950米。,183,20646,中海寰宇天下,闽侯,3,88.64,南北,2018,"['南北', '满二年', '近地铁', '次新房']"
中庚城，金闽小金山中，精装修两房，电梯中层，万科里商圈地铁口,236,34443,中庚城一期,仓山,2,68.52,南北,2000,"['南北', '满五年', '近地铁']"
新到左海软件 鼓楼，次新社区，电梯房。居家装修 凤舞家园,175,23027,凤舞家园,鼓楼,3,76,南北,2010,"['南北', '满二年']"
五四北 南向采光好 满二 正规商品房 双卫格局 近地铁,257,23364,三木城A区,晋安,3,110,南,2012,"['南', '满二年', '近地铁']"
世茂璀璨天城电梯中层，居家装修，拎包入住,265,30739,世茂璀璨天城(一期),晋安,3,86.21,南北,2018,"['南北', '满二年', '近地铁', '车位充足']"
小区新 精装修 全景旗山湖 交通便利 临地铁 刚需三居 西站,215,22396,万科又一城,闽侯,3,96,东南,2016,"['东南', '满二年', '近地铁']"
则徐晓 杨桥 精装3房 拎包入住 中层 三坊七巷交通便利,215,31415,华职新村,鼓楼,3,68.44,东西,1996,"['东西', '满五年', '近地铁', '车位充足']"
鲁能公馆端头户型，大客厅全明电梯高层！看房提前预约！,340,30562,鲁能公馆一期,晋安,3,111.25,西南,2018,"['西南', '满二年', '近地铁', '次新房']"
石油宿舍(鼓楼) 湖滨小，框架3房，零公摊， 南北通透,278,31591,石油宿舍(鼓楼),鼓楼,3,88,南北,2000,"['南北', '满五年', '近地铁']"
福马路 大名城 紫阳地铁口 端头全明三房,314.9,23263,大名城,晋安,3,135.36,南北,2005,"['南北', '满五年', '近地铁']"
中庚城三期 金山中 南北通透 超大入户 看房方便,305,31075,中庚城三期上峰,仓山,3,98.15,南北,2012,"['南北', '满五年', '近地铁']"
南二环，融创福州府，双地铁口，精装修，南北通透，四大商圈环绕,205,23227,融创福州府A区,仓山,3,88.26,南北,2023,"['南北', '唯一住房', '近地铁', '车位充足']"
专业南二环白湖亭板块新房在售，欢迎咨询,212,24037,大东海中央府D区,仓山,3,88.2,南北,2020,"['南北', '有电梯', '次新房']"
真实在售）鼓楼西桥头堡 博仕后公馆 纯毛坯三房 近地铁,200,22582,博仕后公馆,闽侯,3,88.57,东南,2013,"['东南', '满二年', '近地铁']"
金山 小，中楼层，精装三房敞开式书房，可拎包入住,263,32675,醉棠苑,仓山,3,80.49,南北,2004,"['南北', '满二年', '近地铁']"
大儒世家，精装3房2卫，电梯中层，全明户型，朝南阳台，低总价,298,22075,大儒世家观岚,鼓楼,3,135,南北,2010,"['南北', '满五年', '近地铁']"
左海梅峰，板状电梯高层，居家3房2卫，可拎包住，南北通，鼓楼,325,24267,大儒世家卧琥,鼓楼,3,133.93,南北,2008,"['南北', 'VIP房东直卖', '满二年']"
推荐！杂乱！但户型好重新整理清楚，3室2厅，购物出行方便！,168,20118,彬社新村,台江,3,83.51,南北,2002,"['南北', '近地铁']"
浦上大道 金辉天鹅湾 电梯中层 精装3房 诚意出售,310,26174,金辉天鹅湾,仓山,3,118.44,南北,2012,"['南北', '满五年', '近地铁', '绿化率高']"
群升白马郡 交通便利 正南朝向 商业配套成熟 商品住宅 满五,155,34552,群升白马郡,台江,2,44.86,南,2012,"['南', '房东直卖', '满五年', '近地铁']"
地铁口一号线 高层精装大三房 一梯两户,310,23423,三木城D2区,晋安,3,132.35,南北,2008,"['南北', '满二年', '近地铁']"
征搜，鼓楼左海屏西，端头大三房，可拿大面积，还有补，省直屏西,209,20900,省直机关屏西住宅区,鼓楼,3,100,南北,1998,"['南北', '满五年', '近地铁']"
红海园二期 南北通透 三房二卫 近,329,30373,香江红海园二期,仓山,3,108.32,南北,2008,"['南北', '满五年', '近地铁']"
三叉街地铁口 电梯三房 拎包入住 临近白湖亭万达 诚意出售,200,19048,东兴新苑,仓山,3,105,南北,2012,"['南北', '有电梯', '近地铁']"
奥体旁！央企精装现房！三房朝南户户通透！别墅级社区！配套齐全,175,21241,奥体金茂悦,仓山,3,82.39,南北,2019,"['南北', '满二年', '次新房']"
公园左岸 3室1厅 端头户型全明户型，精装修，挺好的，房子不,398,37428,公园左岸,晋安,3,106.34,南北,2019,"['南北', '有电梯', '近地铁', '次新房']"
泰禾旁！房东精装少住好房源 网红设计小两房看房找小江,190,24692,蓝光玖榕台,晋安,2,76.95,南北,2018,"['南北', '满二年', '近地铁', '车位充足']"
近医院 中间楼层采光好 南北通透 产权清晰 双卫生间 满二,250,24518,中天翡翠城,晋安,3,101.97,南北,2005,"['南北', '满二年', '近地铁']"
三盛刚需2房 带个车位 仅这个价 近市区 临鼓楼 晋安区,160,23530,三盛国际公园香樟里,晋安,2,68,南北,2017,"['南北', '满二年']"
旭辉江山云出 ，三房两卫，2023年全新人车分流社区,220,24565,旭辉江山云出,仓山,3,89.56,南北,2023,"['南北', '有电梯', '车位充足']"
鼓楼区 馨泉公寓 二房 259万,259,31586,馨泉公寓,鼓楼,2,82,南北,2000,"['南北', '满二年', '近地铁']"
国货小 精装修三房 社区改造过 近茶亭 达道,245,21625,福明苑,台江,3,113.3,南北,2005,"['南北', '有电梯', '近地铁', '车位充足']"
鼓楼区 树兜新村(五四路) 三房 370万,370,38542,树兜新村,鼓楼,3,96,南,1997,"['南', '满二年', '近地铁']"
万科又一城 精装小三房 设备齐全 拎包入住 旗山湖旁 急卖,215,21939,万科又一城,闽侯,3,98,南,2016,"['南', '满二年', '近地铁']"
仓山万达广场B1区 电梯高层，视野好。,185,24222,仓山万达广场B1区,仓山,2,76.38,南,2012,"['南', '满二年', '近地铁']"
地铁房 三木城B区 双卫格局 交通便捷 配套齐全 带电梯,269,20535,三木城B区,晋安,3,131,南北,2008,"['南北', '满五年', '近地铁']"
花园小， ，框架3房，中间楼层,253,29488,仙塔小区,鼓楼,3,85.8,南北,1994,"['南北', '满二年', '近地铁']"
高雅花园 3室2厅 简装,269,22177,高雅花园,台江,3,121.3,南北,2003,"['南北', '近地铁', '车位充足']"
周边配套成熟！塔头毛坯现房，南北通透三房户型.过了桥就到鼓楼,301,33493,东街东,晋安,3,89.87,南北,2019,"['南北', '满二年', '近地铁', '车位充足']"
博仕后官邸 洪塘大桥桥头. 商品房 小区新 刚需小三居,160,20495,博仕后官邸,闽侯,3,78.07,南北,2015,"['南北', '房东直卖', '满二年', '近地铁']"
好房经不住等待 中天真实在售 橘园洲 电梯3房 已经在谈,248,22722,中天金海岸金爵苑天泽江鼎,仓山,3,109.15,南北,2010,"['南北', '满五年', '近地铁']"
鼓楼左海，精装三房，户型端正，全明采光，南北通透，大儒观岚,285,24569,大儒世家观岚,鼓楼,3,116,南北,2006,"['南北', '满五年', '近地铁']"
鼓楼左海，铜盘五凤，2011年社区，电梯高层，3房，南北通透,218,24223,丞相坊小区,鼓楼,3,90,南北,2010,"['南北', '有电梯']"
新出地铁口东泰禾 精装3房259万 近榕博 三大公园 不沿街,259,29326,保利香槟国际,晋安,3,88.32,南北,2013,"['南北', '满五年', '近地铁']"
26平大阳台 不沿街不靠桥 三盛长岛区 户型方正 性价比高,288,20870,三盛国际公园长岛区,晋安,3,138,南北,2013,"['南北', '满二年', '近地铁', '绿化率高']"
急售 金辉淮安半岛泊郡 南北通透3房2厅2卫,238,20006,金辉淮安半岛泊郡,仓山,3,118.97,东南,2016,"['东南', '满二年', '车位充足']"
江南水都兰邑，精装带花园，朝南向，价格可以谈。万达爱情海上渡,239,24868,融侨江南水都兰邑,仓山,3,96.11,南北,2011,"['南北', '满二年']"
东二环！端头三房!带双阳台! 视野采光好!,214,24045,首开香颂,晋安,3,89,南北,2021,"['南北', '车位充足']"
万科金域榕郡 大三房 满五 精装修 楼层好 视野无遮挡,320,35107,万科金域榕郡,晋安,3,91.15,西南,2012,"['西南', '满五年']"
鼓楼区 五一广场旁 金润09年社区 电梯高层 精装3房2卫,236,28975,金润大厦,鼓楼,3,81.45,南北,2009,"['南北', '近地铁', '多人关注']"
世欧王庄 中层区 清楚装修 领包入住 不沿街 采光好,178,23652,世欧王庄一区,晋安,2,75.26,南,2014,"['南', '满五年', '近地铁']"
公园道1号2期136.0平298万3室2厅2卫,298,21912,公园道1号2期,仓山,3,136,南北,2008,"['南北', '满二年']"
元一温泉花园电梯刚需三房，一手跟单，厅带阳台，价格实惠，有锁,190,22353,三木宿舍,台江,3,85,南北,1997,"['南北', '有电梯', '近地铁']"
王庄连潘，复试楼，使用110平，电梯中层，精装,280,30957,福晟钱隆首座,晋安,3,90.45,东南,2009,"['东南', '满五年', '近地铁']"
鼓楼区 福大怡园 三房 240万,240,30380,怡园,鼓楼,3,79,南北,2004,"['南北', '满二年', '近地铁']"
金辉淮安国际住区泊宫|淮安路8号3室2厅1卫90.53平方米,175,19331,金辉淮安国际住区泊宫,仓山,3,90.53,南,2013,"['南', 'VIP房东直卖', '有电梯']"
祥浦苑花海公园东部办公区3房总价低,280,31029,祥浦苑,仓山,3,90.24,南,2021,"['南', '满二年', '近地铁', '次新房']"
新出！上渡火爆电梯社区！前后无遮挡！南北通透！欢迎来电咨询！,195,21196,兰花园,仓山,3,92,东南,2000,"['东南', '有电梯']"
淮安半岛，精装4房，高性价比,250,21926,金辉淮安国际住区泊宫,仓山,4,114.02,南北,2017,"['南北', '满二年']"
可观地产服务不满意不 香江红海园二期 3室2厅香江红海园二,386,31238,香江红海园二期,仓山,3,123.57,南北,2005,"['南北', '满二年', '近地铁']"
晋安湖丨榕发观湖郡丨三房两卫丨电梯五楼丨全明户型丨采光通风佳,285,32594,榕发观湖郡,晋安,3,87.44,南北,2022,"['南北', '有电梯', '近地铁', '车位充足']"
新出！凤湖新城三区，精装4房，中层，采光好，拎包入住，好房！,253,22781,凤湖新城三区,鼓楼,4,111.06,南北,2012,"['南北', '有电梯', '近地铁']"
福晟钱隆府 金山次新楼盘 刚需小三房 全明采光,190,24201,福晟钱隆府,仓山,3,78.51,南北,2018,"['南北', '有电梯', '近地铁', '车位充足']"
台江万达旁边 地铁口鳌兴佳园 低总价 三房 毛坯业主诚意出售,200,22223,鳌兴佳园二区,台江,3,90,南北,2019,"['南北', '近地铁', '次新房']"
新到！单位宿舍，湖滨小， ，居家3房，电梯房，停车方便,259,30471,福建教育出版社,鼓楼,3,85,南北,1996,"['南北', '满五年', '近地铁']"
杨桥路地铁口，茶园山小，框架3房，端头亮厅户型，中间楼层,278,30889,大王里路63号单位宿舍,鼓楼,3,90,南,1998,"['南', '满二年', '近地铁']"
茶园山，杨桥中，同排，免接送，电梯居家3房，端头，客厅带窗,358,37685,航道局宿舍,鼓楼,3,95,南北,2000,"['南北', '满五年', '近地铁']"
东方高尔夫花园(A区) 密度低 满五 交通便捷,178,22546,东方高尔夫花园(A区),晋安,2,78.95,西南,2007,"['西南', '满五年', '近地铁']"
新出秀峰雅苑 象峰 电梯中层 业主 有钥匙,152,20266,秀峰雅苑,晋安,2,75,南,2019,"['南', '满二年', '近地铁', '次新房']"
鼓楼，三房户型毛坯结构，现房马上可装修入住,301,33493,东街东,晋安,3,89.87,南北,2019,"['南北', '满二年', '近地铁', '车位充足']"
红树林丨双平层大复式丨装修36w丨售价178w丨电梯高层,178,20749,泰禾红树林(1期),仓山,2,85.79,南北,2013,"['南北', '满二年', '车位充足', '多人关注']"
丞相房小区 全明端头户型 电梯中高层 拎包住 毗邻软件园,220,24222,丞相坊小区,鼓楼,3,90.83,西南,2010,"['西南', '满二年']"
杨桥二环内！电梯高层三房！出门地铁！次新房！杨桥中！杨桥新苑,330,36667,杨桥新苑,鼓楼,3,90,南,2015,"['南', '满二年', '近地铁']"
临江新天地三房电梯高层精装修,245,19919,临江新天地玉岛苑,仓山,3,123,南北,2009,"['南北', '满五年', '近地铁']"
桔园洲地铁口，金城湾精装3房2卫，桔园洲地铁口，金城湾精装3,323,27448,新榕金城湾,仓山,3,117.68,南,2015,"['南', '满二年', '近地铁']"
阳光城新界 2室1厅 精装 近地铁 人车分流 万达奥体商圈,118,24963,阳光城新界,仓山,2,47.27,南,2013,"['南', '近地铁', '多人关注']"
万达 爱琴海商圈 正祥滨江假日 商品房社区 两南一北3房2卫,208,21960,正祥滨江假日,仓山,3,94.72,南北,2005,"['南北', '满二年']"
满二2013年人车分流电梯高层看半个福州堪比商品房随时看房,225,20643,凤湖新城二区,鼓楼,3,109,南北,2013,"['南北', '近地铁', '车位充足']"
双地铁口旭辉公元大观高层端头户 2室2厅 南,168,22926,旭辉公元大观,晋安,2,73.28,南,2020,"['南', '有电梯', '近地铁', '次新房']"
预约可享内部价！ 接送！江景现房！ 即住！,131.4,14923,中海锦江城,仓山,3,88.02,南北,2020,"['南北', '满二年', '近地铁', '车位充足']"
江南水都一期名筑 3室2厅 南北,355,30854,融侨江南水都名筑,仓山,3,115.06,南北,2005,"['南北', '满二年', '近地铁']"
温泉公园，框架3房，全明户型，温泉小， ，金龙新村，馨泉,260,34667,金龙新村,鼓楼,3,75,南北,2000,"['南北', '满五年', '近地铁']"
世欧广场旁，象园小，框架大三房，连体大阳台,165,16931,王庄新村四区,晋安,3,97.46,南北,1998,"['南北', '房东直卖', '近地铁', '多人关注']"
左海铜盘。05年社区。五凤兰庭。端头三房。采光好。朝南无遮挡,235,23400,五凤兰庭三期,鼓楼,3,100.43,西南,2006,"['西南', '满二年', '车位充足']"
在繁忙的城市有个属于自己的小窝 精装3房 D铁口 洋房社区,209,23402,融创福州府A区,仓山,3,89.31,南北,2022,"['南北', '近地铁', '车位充足']"
六一路 温泉公园旁 2021年次新房 人车分离 端头,270,30902,龙湖盛天天钜,晋安,3,87.37,西南,2022,"['西南', '唯一住房', '近地铁', '次新房']"
卧湖新苑 3室1厅 企业力荐好房诚意出售,220,32415,卧湖新苑,鼓楼,3,67.87,南北,1997,"['南北', '满二年', '近地铁']"
西二环 医疗配套成熟 正规商品房 出行方便 临地铁 购物方便,285,33530,福建省粮油储运公司杨桥路住宅区,鼓楼,3,85,南北,1997,"['南北', '满五年', '近地铁', '车位充足']"
天空之城 出行方便 商品房 电梯房 刚需小三居 临地铁,175,23198,天空之城,晋安,3,75.44,南北,2021,"['南北', '有电梯', '近地铁', '次新房']"
东二环 景湖新苑 南北通透 满五 精装修 临地铁 板楼,155,20667,景湖新苑,晋安,2,75,南北,2020,"['南北', '满二年', '近地铁', '次新房']"
买建总领筑！找我享内部价！预约专车接送！,160,21494,建总领筑,仓山,2,74.44,南北,2021,"['南北', '满二年', '近地铁', '车位充足']"
湖滨小区 满二 南北通透 医疗配套成熟 居住密度低 双卫,375,38266,湖滨小区,鼓楼,3,98,南北,2005,"['南北', '满二年', '近地铁']"
红星国际.晶品 3室2厅 精装,280,31129,红星国际广场晶品,仓山,3,89.95,东南,2013,"['东南', '近地铁']"
鲁能公馆一期 临地铁 得房好 交通便利 有电梯 正规商品房,315,28318,鲁能公馆一期,晋安,3,111.24,西南,2018,"['西南', '满二年', '近地铁', '次新房']"
新出！新园C区 购物方便出行方便 满五 刚需小三居 南北通透,183,20512,新园C区,鼓楼,3,89.22,南北,2000,"['南北', '满五年', '近地铁']"
2019年小区，融侨物业，低于市场价50万，世欧广场旁,258,32226,首开融侨尚东区熙悦锦城,晋安,3,80.06,南,2012,"['南', '满二年', '近地铁']"
鼓楼省体框架3房，低总价！ 福日小区采光好，厅带窗户 好停车,186,21306,福日小区,鼓楼,3,87.3,南北,1997,"['南北', '满五年', '近地铁']"
浦上大道，万达商圈，金辉天鹅湾，房东诚意出售，看房方便,243,25747,金辉天鹅湾,仓山,3,94.38,南北,2010,"['南北', '满二年', '近地铁', '绿化率高']"
南台十六府 2室2厅 西南,170,26625,南台十六府,仓山,2,63.85,西南,2016,"['西南', '近地铁']"
五四温泉，树兜花园， 原装电梯3房 ，接送温泉小，树兜地铁口,375,39797,树兜花园,鼓楼,3,94.23,南,2000,"['南', '满二年', '近地铁']"
新！茶园山小杨桥中 电梯居家3房 增送 大杂物间使用权,289,33629,万隆花园(二期),鼓楼,3,85.94,南北,2003,"['南北', '满二年', '近地铁']"
小三房 南向采光好 高楼层视野无遮挡 正规商品房 近地铁,200,22295,旭辉榕宸天著,晋安,3,89.71,南,2020,"['南', '有电梯', '次新房']"
紫阳地铁口和源居，单价 5，电梯高层一梯一户，全明结构急售,308,24781,和源居,晋安,3,124.29,南北,2010,"['南北', '满五年', '近地铁']"
加急 新出 一梯一户 零公摊 送 大花园 双D铁 温泉入户,229,20755,首开国仕府,仓山,3,110.34,南北,2020,"['南北', '满二年', '近地铁', '次新房']"
摘仙苑小区 四房两卫 地铁口 商业配套齐全 装修好,315,23704,摘仙苑小区,仓山,4,132.89,南北,2003,"['南北', '满五年', '近地铁']"
急急急 价格可谈 精装 现房 双阳台 楼层可选 央企大放价,199,20442,奥体金茂悦,仓山,3,97.35,南北,2020,"['南北', '满二年', '次新房']"
龙湖盛天天钜 临地铁 正南朝向 次新房 交通便利 小三居,320,36253,龙湖盛天天钜,晋安,3,88.27,南,2021,"['南', '近地铁', '次新房']"
钱塘小屏东中，精装修三房两卫，楼层适中，拎包入住,340,36957,华大新村(后营),鼓楼,3,92,南北,1996,"['南北', '满五年', '近地铁']"
可谈！有证!急!!三叉街地铁口滨海 大四房 端头全明户型,319,23113,滨海首府(三区),仓山,4,138.02,东南,2022,"['东南', '有电梯', '近地铁', '次新房']"
仓小 中间楼层，南北通透三房明厅,269,31648,万春二区,仓山,3,85,南北,1998,"['南北', '满二年', '近地铁']"
交通路 宁化西洋双地铁口 万科广场 17年纯商3房 万科物业,378,34464,万科广场,台江,3,109.68,南北,2017,"['南北', '满二年', '近地铁', '车位充足']"
光明港旁，象园小，框架端头三房，连体大阳台，南北通透,168,19765,乐园小区,晋安,3,85,南北,1999,"['南北', '近地铁']"
此心社区 电梯高层三房两卫 几乎没住过 地铁口,198,20630,名城珑域,马尾,3,95.98,南北,2017,"['南北', '满二年']"
尊五里亭 业主自装少住 急卖 价格诚意可谈,310,33188,世茂璀璨天城(二期),晋安,3,93.41,南北,2018,"['南北', '满二年', '近地铁', '车位充足']"
南江滨大道（滨江正荣府）近嘉里山姆会员丨实景现房丨,214,23949,滨江正荣府,仓山,3,89.36,南北,2022,"['南北', '唯一住房', '近地铁', '车位充足']"
塔头中海锦园，2020年新房，毛坯房自己装修，电梯高层。,300,33565,中海锦园,晋安,3,89.38,南北,2020,"['南北', '满二年', '近地铁', '次新房']"
配套齐全 高楼层视野无遮挡 交通便捷 临地铁 商品房 近医院,218,24142,元洪花园,鼓楼,2,90.3,东,1996,"['东', '满五年', '近地铁']"
茶园山杨桥中 西洪新村 南北通透大三房 户型方正 6米大阳台,275,24123,西洪新村,鼓楼,3,114,南北,2000,"['南北', '满二年', '近地铁']"
鲁能公馆一期 次新小区 电梯房 南北通透 双卫 配套齐全,345,31499,鲁能公馆一期,晋安,3,109.53,南北,2019,"['南北', '有电梯', '近地铁', '次新房']"
东街口西湖边，鼓一小 ，居家大3房，中间楼层，户型方正！,318,42058,省粮食局宿舍,鼓楼,3,75.61,南北,1990,"['南北', '近地铁']"
降价，通湖路三坊七巷隔壁，单位大院里的电梯房，高层无遮挡,399,40715,省建筑设计院单位宿舍,鼓楼,3,98,南北,2002,"['南北', '满二年', '近地铁']"
4号地铁口，三木都市田园，3房2厅2卫，250万,249,23975,三木都市田园1期,晋安,3,103.86,南北,2005,"['南北', '满二年', '近地铁']"
真实| 江南水都心锐 水都小水都中 全新装修未入住 看房全天,360,35740,融侨江南水都心锐,仓山,3,100.73,南北,2010,"['南北', '满二年', '近地铁']"
电梯高层 端头采光 不沿街，南北通透，户型方正。,239,21304,融信三味舒屋,仓山,4,112.19,南北,2007,"['南北', '满五年', '近地铁']"
新出！！凤湖新城四区 医疗配套成熟 双卫生间 南北通透 诚意,246,22991,凤湖新城四区,鼓楼,3,107,南北,2010,"['南北', '满五年', '近地铁']"
电梯高层，东南全明，星城国际，端头户型，采光无遮挡，换房出售,175,23973,星城国际黎明大厦,鼓楼,2,73,东南,2006,"['东南', '满二年', '近地铁']"
龙苑产权面积95平米，67复式楼，使用比较大,315,33023,金山桔园龙苑(AB区),仓山,4,95.39,南北,2005,"['南北', '满二年', '近地铁']"
则徐小，杨桥中，框架结构，毛坯三房，使用面积大双阳台,385,41532,华苑公寓,鼓楼,3,92.7,南北,2003,"['南北', '满二年', '近地铁']"
